"Date","Tonase","Jenis","Breakdown"
2023-10-31 00:00:00.000,3354324.99,Actual,Total Sales
2023-11-30 00:00:00.000,3213940.87,Actual,Total Sales
2023-12-31 00:00:00.000,3403811.56,Actual,Total Sales
2024-01-31 00:00:00.000,3363549.28,Actual,Total Sales
2024-02-29 00:00:00.000,3066871.59,Actual,Total Sales
2024-03-31 00:00:00.000,3216894.33,Actual,Total Sales
2024-04-30 00:00:00.000,3280380.33,Actual,Total Sales
2024-05-31 00:00:00.000,3633723.23,Actual,Total Sales
2024-06-30 00:00:00.000,3493225.6,Actual,Total Sales
2024-07-31 00:00:00.000,1763647.2,Actual,Total Sales
2024-08-31 00:00:00.000,3723244.55,Actual,Total Sales
2024-09-30 00:00:00.000,3717905.91,Actual,Total Sales
2024-10-31 00:00:00.000,3945523.85,Actual,Total Sales
2024-11-30 00:00:00.000,3813305.36,Actual,Total Sales
2024-12-31 00:00:00.000,3854621.78,Actual,Total Sales
2025-01-31 00:00:00.000,3123760.9,Actual,Total Sales
2022-01-31 00:00:00.000,2324473.55,Forecast,Total Sales
2022-02-28 00:00:00.000,2389633.11,Forecast,Total Sales
2022-03-31 00:00:00.000,2763747.64,Forecast,Total Sales
2022-04-30 00:00:00.000,2656953.27,Forecast,Total Sales
2022-05-31 00:00:00.000,2578057.82,Forecast,Total Sales
2022-06-30 00:00:00.000,2604880.68,Forecast,Total Sales
2022-07-31 00:00:00.000,2227870.95,Forecast,Total Sales
2022-08-31 00:00:00.000,2867612.57,Forecast,Total Sales
2022-09-30 00:00:00.000,3035381.25,Forecast,Total Sales
2022-10-31 00:00:00.000,3022867.51,Forecast,Total Sales
2022-11-30 00:00:00.000,2803587.46,Forecast,Total Sales
2022-12-31 00:00:00.000,2923908.65,Forecast,Total Sales
2023-01-31 00:00:00.000,2725680.78,Forecast,Total Sales
2023-02-28 00:00:00.000,2760949.16,Forecast,Total Sales
2023-03-31 00:00:00.000,3147428.72,Forecast,Total Sales
2023-04-30 00:00:00.000,3021965.41,Forecast,Total Sales
2023-05-31 00:00:00.000,2950390.69,Forecast,Total Sales
2023-06-30 00:00:00.000,2967740.56,Forecast,Total Sales
2023-07-31 00:00:00.000,2617458.31,Forecast,Total Sales
2023-08-31 00:00:00.000,3260591.79,Forecast,Total Sales
2023-09-30 00:00:00.000,3414897.08,Forecast,Total Sales
2023-10-31 00:00:00.000,3409169.67,Forecast,Total Sales
2023-11-30 00:00:00.000,3180048.72,Forecast,Total Sales
2023-12-31 00:00:00.000,3312802.09,Forecast,Total Sales
2024-01-31 00:00:00.000,3126928.01,Forecast,Total Sales
2024-02-29 00:00:00.000,3084506.61,Forecast,Total Sales
2024-03-31 00:00:00.000,3468427.09,Forecast,Total Sales
2024-04-30 00:00:00.000,3363554.81,Forecast,Total Sales
2024-05-31 00:00:00.000,3306140.63,Forecast,Total Sales
2024-06-30 00:00:00.000,3317171.03,Forecast,Total Sales
2024-07-31 00:00:00.000,2922651.51,Forecast,Total Sales
2024-08-31 00:00:00.000,3586090.64,Forecast,Total Sales
2024-09-30 00:00:00.000,3748455.37,Forecast,Total Sales
2024-10-31 00:00:00.000,3754795.36,Forecast,Total Sales
2024-11-30 00:00:00.000,3523837.21,Forecast,Total Sales
2024-12-31 00:00:00.000,3651435.33,Forecast,Total Sales
2025-01-31 00:00:00.000,3452519.64,Forecast,Total Sales
2025-02-01 00:00:00.000,3379121.43,Forecast,Total Sales
2025-03-01 00:00:00.000,3408956.52,Forecast,Total Sales
2025-04-01 00:00:00.000,3787254.6,Forecast,Total Sales
2025-05-01 00:00:00.000,3703189.27,Forecast,Total Sales
2025-06-01 00:00:00.000,3661546.52,Forecast,Total Sales
2025-07-01 00:00:00.000,3668759.83,Forecast,Total Sales
2025-08-01 00:00:00.000,3231484.15,Forecast,Total Sales
2025-09-01 00:00:00.000,3909971.57,Forecast,Total Sales
2025-10-01 00:00:00.000,4079943.8,Forecast,Total Sales
2025-11-01 00:00:00.000,4098804.48,Forecast,Total Sales
2025-12-01 00:00:00.000,3868627.61,Forecast,Total Sales
2026-01-01 00:00:00.000,3990857.19,Forecast,Total Sales
2022-01-31 00:00:00.000,1746950.61,Actual,Total Sales Domestik
2022-02-28 00:00:00.000,1465499.84,Actual,Total Sales Domestik
2022-03-31 00:00:00.000,1468489.08,Actual,Total Sales Domestik
2022-04-30 00:00:00.000,1701725.78,Actual,Total Sales Domestik
2022-05-31 00:00:00.000,1629473.03,Actual,Total Sales Domestik
2022-06-30 00:00:00.000,1449262.88,Actual,Total Sales Domestik
2022-07-31 00:00:00.000,1670935.1,Actual,Total Sales Domestik
2022-08-31 00:00:00.000,1684074.34,Actual,Total Sales Domestik
2022-09-30 00:00:00.000,1647720.9,Actual,Total Sales Domestik
2022-10-31 00:00:00.000,1460950.2,Actual,Total Sales Domestik
2022-11-30 00:00:00.000,1569057.98,Actual,Total Sales Domestik
2022-12-31 00:00:00.000,1678172.66,Actual,Total Sales Domestik
2023-01-31 00:00:00.000,1748073.9,Actual,Total Sales Domestik
2023-02-28 00:00:00.000,1753328.56,Actual,Total Sales Domestik
2023-03-31 00:00:00.000,1655423.69,Actual,Total Sales Domestik
2023-04-30 00:00:00.000,1574570.27,Actual,Total Sales Domestik
2023-05-31 00:00:00.000,1749562.67,Actual,Total Sales Domestik
2023-06-30 00:00:00.000,1848033.88,Actual,Total Sales Domestik
2023-07-31 00:00:00.000,1755377.36,Actual,Total Sales Domestik
2023-08-31 00:00:00.000,1822898.67,Actual,Total Sales Domestik
2023-09-30 00:00:00.000,1848464.37,Actual,Total Sales Domestik
2023-10-31 00:00:00.000,1984942.99,Actual,Total Sales Domestik
2023-11-30 00:00:00.000,1915735.87,Actual,Total Sales Domestik
2023-12-31 00:00:00.000,1747544.56,Actual,Total Sales Domestik
2024-01-31 00:00:00.000,2275939.28,Actual,Total Sales Domestik
2024-02-29 00:00:00.000,1678156.59,Actual,Total Sales Domestik
2024-03-31 00:00:00.000,1902777.33,Actual,Total Sales Domestik
2024-04-30 00:00:00.000,2077174.33,Actual,Total Sales Domestik
2024-05-31 00:00:00.000,1768318.23,Actual,Total Sales Domestik
2024-06-30 00:00:00.000,1867122.6,Actual,Total Sales Domestik
2024-07-31 00:00:00.000,1763647.2,Actual,Total Sales Domestik
2024-08-31 00:00:00.000,1754440.46,Actual,Total Sales Domestik
2024-09-30 00:00:00.000,1895183.0,Actual,Total Sales Domestik
2024-10-31 00:00:00.000,1948631.85,Actual,Total Sales Domestik
2024-11-30 00:00:00.000,1805574.36,Actual,Total Sales Domestik
2024-12-31 00:00:00.000,1898486.78,Actual,Total Sales Domestik
2025-01-31 00:00:00.000,1663335.9,Actual,Total Sales Domestik
2022-01-31 00:00:00.000,1670585.99,Forecast,Total Sales Domestik
2022-02-28 00:00:00.000,1506151.31,Forecast,Total Sales Domestik
2022-03-31 00:00:00.000,1548765.1,Forecast,Total Sales Domestik
2022-04-30 00:00:00.000,1627664.03,Forecast,Total Sales Domestik
2022-05-31 00:00:00.000,1625262.35,Forecast,Total Sales Domestik
2022-06-30 00:00:00.000,1573040.08,Forecast,Total Sales Domestik
2022-07-31 00:00:00.000,1560697.16,Forecast,Total Sales Domestik
2022-08-31 00:00:00.000,1620583.98,Forecast,Total Sales Domestik
2022-09-30 00:00:00.000,1609638.34,Forecast,Total Sales Domestik
2022-10-31 00:00:00.000,1597534.31,Forecast,Total Sales Domestik
2022-11-30 00:00:00.000,1632274.05,Forecast,Total Sales Domestik
2022-12-31 00:00:00.000,1626760.68,Forecast,Total Sales Domestik
2023-01-31 00:00:00.000,1790160.56,Forecast,Total Sales Domestik
2023-02-28 00:00:00.000,1667260.76,Forecast,Total Sales Domestik
2023-03-31 00:00:00.000,1660988.4,Forecast,Total Sales Domestik
2023-04-30 00:00:00.000,1723479.86,Forecast,Total Sales Domestik
2023-05-31 00:00:00.000,1737794.53,Forecast,Total Sales Domestik
2023-06-30 00:00:00.000,1749475.53,Forecast,Total Sales Domestik
2023-07-31 00:00:00.000,1765550.37,Forecast,Total Sales Domestik
2023-08-31 00:00:00.000,1788319.65,Forecast,Total Sales Domestik
2023-09-30 00:00:00.000,1876793.82,Forecast,Total Sales Domestik
2023-10-31 00:00:00.000,1946299.38,Forecast,Total Sales Domestik
2023-11-30 00:00:00.000,1858700.72,Forecast,Total Sales Domestik
2023-12-31 00:00:00.000,1884756.36,Forecast,Total Sales Domestik
2024-01-31 00:00:00.000,2060423.36,Forecast,Total Sales Domestik
2024-02-29 00:00:00.000,1831485.2,Forecast,Total Sales Domestik
2024-03-31 00:00:00.000,1869964.56,Forecast,Total Sales Domestik
2024-04-30 00:00:00.000,1989924.09,Forecast,Total Sales Domestik
2024-05-31 00:00:00.000,1843770.53,Forecast,Total Sales Domestik
2024-06-30 00:00:00.000,1851153.49,Forecast,Total Sales Domestik
2024-07-31 00:00:00.000,1878027.77,Forecast,Total Sales Domestik
2024-08-31 00:00:00.000,1847220.46,Forecast,Total Sales Domestik
2024-09-30 00:00:00.000,1847084.56,Forecast,Total Sales Domestik
2024-10-31 00:00:00.000,1801268.92,Forecast,Total Sales Domestik
2024-11-30 00:00:00.000,1787814.25,Forecast,Total Sales Domestik
2024-12-31 00:00:00.000,1812467.44,Forecast,Total Sales Domestik
2025-01-31 00:00:00.000,1805578.51,Forecast,Total Sales Domestik
2025-02-01 00:00:00.000,1824649.71,Forecast,Total Sales Domestik
2025-03-01 00:00:00.000,1666522.18,Forecast,Total Sales Domestik
2025-04-01 00:00:00.000,1743838.33,Forecast,Total Sales Domestik
2025-05-01 00:00:00.000,1696162.11,Forecast,Total Sales Domestik
2025-06-01 00:00:00.000,1617194.67,Forecast,Total Sales Domestik
2025-07-01 00:00:00.000,1718830.72,Forecast,Total Sales Domestik
2025-08-01 00:00:00.000,1614290.62,Forecast,Total Sales Domestik
2025-09-01 00:00:00.000,1613172.15,Forecast,Total Sales Domestik
2025-10-01 00:00:00.000,1671364.16,Forecast,Total Sales Domestik
2025-11-01 00:00:00.000,1627763.76,Forecast,Total Sales Domestik
2025-12-01 00:00:00.000,1563317.32,Forecast,Total Sales Domestik
2026-01-01 00:00:00.000,1530873.6,Forecast,Total Sales Domestik
2022-01-31 00:00:00.000,344709.49,Actual,Total Sales Ekspor
2022-02-28 00:00:00.000,590855.99,Actual,Total Sales Ekspor
2022-03-31 00:00:00.000,1350178.55,Actual,Total Sales Ekspor
2022-04-30 00:00:00.000,1027221.48,Actual,Total Sales Ekspor
2022-05-31 00:00:00.000,1025365.98,Actual,Total Sales Ekspor
2022-06-30 00:00:00.000,824570.98,Actual,Total Sales Ekspor
2022-07-31 00:00:00.000,934896.26,Actual,Total Sales Ekspor
2022-08-31 00:00:00.000,1279021.74,Actual,Total Sales Ekspor
2022-09-30 00:00:00.000,1664507.92,Actual,Total Sales Ekspor
2022-10-31 00:00:00.000,1499129.0,Actual,Total Sales Ekspor
